variable,mean(|SHAP|),gain,cover
_BMI5,0.4054652452468872,5.59531613281056,1820.5206060221642
PNEUVAC4,0.32985928654670715,12.846042325915596,1781.0765857635718
GENHLTH_1.0,0.28215837478637695,40.14059751207777,8886.255854405557
WTKG3,0.21526402235031128,3.521861962639091,1576.7429995343302
GENHLTH_2.0,0.2131948173046112,16.100398372384085,1801.8063177358847
CHECKUP1_1.0,0.20554669201374054,34.9662346301382,1988.9442584703254
ALCDAY5,0.19551876187324524,4.949415528845838,1382.654001586607
GENHLTH_4.0,0.14072580635547638,11.945786315781893,2195.457221472953
RMVTETH4_0.0,0.1324472278356552,13.048407173750551,855.1168127340615
BLDSTOOL,0.129834845662117,8.876241955647693,633.937143534305
CVD,0.11989632993936539,14.255965004958805,1292.5419414526582
DIFFWALK,0.1187768429517746,38.50582512446966,1210.0799024226937
PERSDOC2_0.0,0.1144876554608345,9.482875153678762,2674.1247335508847
HTM4,0.11069826781749725,3.1136116992538274,1011.6044258317526
FALL12MN,0.09865128993988037,5.041124705149703,1147.139713901458
_RACE_1.0,0.09479456394910812,6.4478956497765125,950.1655808095633
MAXDRNKS,0.08981360495090485,3.7610412808346383,1450.1755638497496
_DRNKWEK,0.08584394305944443,4.695593850041886,953.8611579718197
SLEPTIM1,0.08089165389537811,3.085078253965251,909.1703508435561
POORHLTH,0.0768786296248436,2.952003714305203,451.13659912933116
PHYSHLTH,0.07450364530086517,3.176741184456035,499.4075329468329
CHCKDNY1,0.0743606761097908,15.179531552256764,3937.007527584933
_AGEG5YR_1.0,0.07248582690954208,23.20760570576666,10123.230021103001
DRVISITS,0.07204023748636246,3.635272966018023,3259.2927285672736
FLSHTMY2,0.07178061455488205,3.1599288719817697,894.3596204934101
NUMADULT,0.06921842694282532,3.2340801607764496,983.4159490085988
GENHLTH_5.0,0.06894095987081528,13.913389476182786,4028.300399279263
LASTDEN4_1.0,0.06555237621068954,3.063604640799158,1072.769514827912
MENTHLTH,0.06551992148160934,2.991532325629625,713.3260929823872
HIVTSTD3,0.0645492672920227,3.5921138553747305,3357.068355572336
HIVTST6,0.0639842301607132,3.1896235608118397,647.0193248660614
SEX1,0.06257682293653488,6.010029962608789,1811.1317047725277
EMPLOY1_7.0,0.060446616262197495,5.766251677800947,599.2939890018482
_DRDXAR1,0.06036955490708351,3.939788644025877,978.0488663526148
GENHLTH_3.0,0.05995365232229233,9.096835536537663,500.4063014599676
EXERANY2,0.05994339659810066,3.235672638961736,866.0825529131598
_AGEG5YR_11.0,0.05988089740276337,3.718586874731821,1649.3718474618183
HPVTEST,0.05569535121321678,2.936674988351234,781.6529411744968
MEDSCOS1,0.05343345180153847,4.56519392810909,5999.37085549182
DRNKDRI2,0.051643431186676025,9.450966095292593,5385.633814688026
CPDEMO1B,0.04996710643172264,3.0515173640487494,796.6438164574664
NUMHHOL3,0.04966019093990326,3.1123449639899987,526.1489652763332
CHILDREN,0.04644295573234558,3.575712928110341,1853.5768360582515
RMVTETH4_1.0,0.045471690595149994,3.6209944356139614,466.65077019201254
AVEDRNK2,0.044623710215091705,3.178675412945594,775.6857389408026
DRNK3GE5,0.04385096952319145,3.367590615851323,1883.8589418783606
FALLINJ3,0.04372333735227585,3.2924949072013794,1178.011258181363
COPDSMOK,0.04331415891647339,3.424721140204447,2207.3652861465966
_RFPSA22,0.04326919838786125,3.6757261821314122,1109.173799156335
_AGEG5YR_2.0,0.04199058935046196,9.195411694757572,6798.765969292422
IMFVPLAC_1.0,0.04129397124052048,3.947995413732123,738.2651640405703
_AGEG5YR_9.0,0.041042063385248184,3.5399481145394374,1983.897544650281
_MAM5022,0.040360286831855774,3.506591110054739,1234.6636143076314
ECIGARET,0.038975201547145844,3.007701594330959,309.3048510658724
EDUCA_6.0,0.03887959569692612,3.406266807260318,573.3956495430557
LANDLINE,0.038660045713186264,3.030441728732698,335.7848817828571
RENTHOM1_2.0,0.03816276416182518,2.8027440261261143,883.1591875061144
LASTSMK2_7.0,0.03769414871931076,3.574361609573332,806.1166546627337
_COL10YR,0.03716054558753967,3.1805374080593873,485.614472843379
EMPLOY1_1.0,0.03714153543114662,3.571890716686249,513.7621468306663
_AGEG5YR_10.0,0.036931682378053665,3.476612547568494,1366.6543947696587
CHECKUP1_4.0,0.03618032857775688,5.010290451454546,7264.607058675756
CHECKUP1_2.0,0.03498997539281845,4.104734267118645,3897.424762164069
_RFBLDS3,0.03471505641937256,3.9322587801730076,469.06641434146013
CHECKUP1_3.0,0.0341065376996994,3.2158795175714285,14947.627069689048
BLIND,0.03364761173725128,4.253585350571428,1629.5938373226622
CHCCOPD1,0.033460453152656555,3.8166435970612267,1764.96415397801
MARITAL_1.0,0.03319321572780609,3.0387986025406364,357.0651843427561
PSATEST1,0.032835617661476135,3.703568769211074,751.5329247958191
STOPSMK2,0.03268967196345329,3.8721633252483487,989.7276658531414
_RFMAM21,0.032368484884500504,3.3475182374139725,541.3507720056251
_METSTAT,0.03227021545171738,2.9838860424259805,355.7077832896374
MARITAL_3.0,0.031633563339710236,3.0597981736643836,1023.8939318704101
