variable,mean(|SHAP|),gain,weight
_BMI5,0.290083110332489,56.27119876095091,955.0
PNEUVAC4,0.24630685150623322,151.76402507918814,186.0
GENHLTH_1.0,0.215565025806427,187.43853505082467,97.0
CHECKUP1_1.0,0.19215640425682068,141.04232676895523,134.0
GENHLTH_2.0,0.19141633808612823,185.7620681127066,92.0
RMVTETH4_0.0,0.11579672992229462,267.02255837510864,46.0
ALCDAY5,0.11055624485015869,62.10222028844793,192.0
_RACE_1.0,0.10276123881340027,45.04940620194021,117.0
CVD,0.09389553219079971,122.22371393710254,118.0
BLDSTOOL,0.08853699266910553,124.0847079501505,93.0
PERSDOC2_0.0,0.08785449713468552,55.539136000684216,76.0
FALL12MN,0.08615855872631073,46.05167733929216,243.0
DIFFWALK,0.08476234972476959,520.1821165330379,79.0
GENHLTH_4.0,0.07421652227640152,101.66072021420797,101.0
WTKG3,0.07367520034313202,16.340083813227835,593.0
_AGEG5YR_1.0,0.059232208877801895,63.29370713800001,55.0
CHCKDNY1,0.05287579819560051,57.84110387792145,140.0
EMPLOY1_7.0,0.049120280891656876,46.31620614785713,63.0
GENHLTH_5.0,0.0401192270219326,56.38427208023811,84.0
EXERANY2,0.038051486015319824,17.917701921975002,80.0
_DRNKWEK,0.037244368344545364,33.38234573376,150.0
_AGEG5YR_2.0,0.03401927649974823,38.49383344303031,33.0
DRNKDRI2,0.03305860608816147,57.42375536625639,39.0
SEX1,0.03275853767991066,22.54034782518518,81.0
DRVISITS,0.03166893869638443,13.658091151793336,150.0
IMFVPLAC_1.0,0.03040192276239395,24.045705425434775,46.0
_DRDXAR1,0.02998259663581848,15.807856945654208,107.0
MAXDRNKS,0.02940603531897068,15.724387845213123,122.0
LASTDEN4_1.0,0.02727707289159298,25.28265876981628,43.0
EDUCA_6.0,0.02464555948972702,14.379139412500002,32.0
GENHLTH_3.0,0.024047181010246277,124.89548187000001,59.0
LASTSMK2_7.0,0.02403460443019867,15.20340485116279,43.0
FLUSHOT6,0.022831635549664497,22.694858184259523,42.0
SLEPTIM1,0.02281253971159458,7.3068153012720165,311.0
_AGEG5YR_11.0,0.0227733813226223,16.196626866842106,57.0
MEDSCOS1,0.021997492760419846,11.847807742407404,54.0
LASTDEN4_4.0,0.020579086616635323,21.27162769928571,42.0
_RFBLDS3,0.020344676449894905,17.534748475449998,60.0
HIVTST6,0.019559664651751518,10.73175830780303,66.0
PHYSHLTH,0.019272441044449806,10.883920854214338,258.0
BLIND,0.019153814762830734,16.19862078596364,55.0
